At itteration 304 Test data , total error of 0.2016, Training Data, total error of 0.191
At itteration 305 Test data , total error of 0.2044, Training Data, total error of 0.1932
At itteration 306 Test data , total error of 0.2044, Training Data, total error of 0.193
At itteration 307 Test data , total error of 0.22, Training Data, total error of 0.2128
At itteration 308 Test data , total error of 0.2054, Training Data, total error of 0.1952
At itteration 309 Test data , total error of 0.2196, Training Data, total error of 0.2124
At itteration 310 Test data , total error of 0.2246, Training Data, total error of 0.218
At itteration 311 Test data , total error of 0.2246, Training Data, total error of 0.218
At itteration 312 Test data , total error of 0.2274, Training Data, total error of 0.2208
At itteration 313 Test data , total error of 0.2246, Training Data, total error of 0.2182
At itteration 314 Test data , total error of 0.2246, Training Data, total error of 0.2182
At itteration 315 Test data , total error of 0.2236, Training Data, total error of 0.216
At itteration 316 Test data , total error of 0.2236, Training Data, total error of 0.216
At itteration 317 Test data , total error of 0.224, Training Data, total error of 0.216
At itteration 318 Test data , total error of 0.2236, Training Data, total error of 0.216
At itteration 319 Test data , total error of 0.2236, Training Data, total error of 0.216
At itteration 320 Test data , total error of 0.2236, Training Data, total error of 0.216
At itteration 321 Test data , total error of 0.2186, Training Data, total error of 0.2106
At itteration 322 Test data , total error of 0.219, Training Data, total error of 0.2106
At itteration 323 Test data , total error of 0.219, Training Data, total error of 0.2106
At itteration 324 Test data , total error of 0.219, Training Data, total error of 0.2106
At itteration 325 Test data , total error of 0.2186, Training Data, total error of 0.2106
At itteration 326 Test data , total error of 0.219, Training Data, total error of 0.2104
At itteration 327 Test data , total error of 0.2236, Training Data, total error of 0.2162
At itteration 328 Test data , total error of 0.2236, Training Data, total error of 0.2162
At itteration 329 Test data , total error of 0.224, Training Data, total error of 0.2162
At itteration 330 Test data , total error of 0.2234, Training Data, total error of 0.2164
At itteration 331 Test data , total error of 0.2286, Training Data, total error of 0.2204
At itteration 332 Test data , total error of 0.2234, Training Data, total error of 0.2164
At itteration 333 Test data , total error of 0.2282, Training Data, total error of 0.2204
At itteration 334 Test data , total error of 0.245, Training Data, total error of 0.2426
At itteration 335 Test data , total error of 0.2502, Training Data, total error of 0.2466
At itteration 336 Test data , total error of 0.2312, Training Data, total error of 0.2226
At itteration 337 Test data , total error of 0.2546, Training Data, total error of 0.2498
At itteration 338 Test data , total error of 0.2312, Training Data, total error of 0.2226
At itteration 339 Test data , total error of 0.2286, Training Data, total error of 0.2204
At itteration 340 Test data , total error of 0.275, Training Data, total error of 0.2768
At itteration 341 Test data , total error of 0.2696, Training Data, total error of 0.2718
At itteration 342 Test data , total error of 0.2672, Training Data, total error of 0.2694
At itteration 343 Test data , total error of 0.2672, Training Data, total error of 0.2694
At itteration 344 Test data , total error of 0.2456, Training Data, total error of 0.2424
At itteration 345 Test data , total error of 0.2672, Training Data, total error of 0.2694
At itteration 346 Test data , total error of 0.2456, Training Data, total error of 0.2424
At itteration 347 Test data , total error of 0.2698, Training Data, total error of 0.2716
At itteration 348 Test data , total error of 0.25, Training Data, total error of 0.2464
At itteration 349 Test data , total error of 0.2698, Training Data, total error of 0.2716
At itteration 350 Test data , total error of 0.2672, Training Data, total error of 0.2694
At itteration 351 Test data , total error of 0.2456, Training Data, total error of 0.2424
At itteration 352 Test data , total error of 0.2456, Training Data, total error of 0.2424
At itteration 353 Test data , total error of 0.269, Training Data, total error of 0.2704
At itteration 354 Test data , total error of 0.2672, Training Data, total error of 0.2694
At itteration 355 Test data , total error of 0.2456, Training Data, total error of 0.2424
At itteration 356 Test data , total error of 0.2456, Training Data, total error of 0.2424
At itteration 357 Test data , total error of 0.2258, Training Data, total error of 0.2172
At itteration 358 Test data , total error of 0.2456, Training Data, total error of 0.2432
At itteration 359 Test data , total error of 0.2874, Training Data, total error of 0.277
At itteration 360 Test data , total error of 0.2888, Training Data, total error of 0.2782
At itteration 361 Test data , total error of 0.2914, Training Data, total error of 0.2804
At itteration 362 Test data , total error of 0.2888, Training Data, total error of 0.2782
At itteration 363 Test data , total error of 0.2972, Training Data, total error of 0.2858
At itteration 364 Test data , total error of 0.2888, Training Data, total error of 0.2782
At itteration 365 Test data , total error of 0.2946, Training Data, total error of 0.2836
At itteration 366 Test data , total error of 0.2946, Training Data, total error of 0.2836
At itteration 367 Test data , total error of 0.2914, Training Data, total error of 0.2804
At itteration 368 Test data , total error of 0.2972, Training Data, total error of 0.2858
At itteration 369 Test data , total error of 0.2888, Training Data, total error of 0.2782
At itteration 370 Test data , total error of 0.2888, Training Data, total error of 0.2782
At itteration 371 Test data , total error of 0.2946, Training Data, total error of 0.2836
At itteration 372 Test data , total error of 0.2946, Training Data, total error of 0.2836
At itteration 373 Test data , total error of 0.2972, Training Data, total error of 0.2858
At itteration 374 Test data , total error of 0.297, Training Data, total error of 0.286
At itteration 375 Test data , total error of 0.2946, Training Data, total error of 0.2836
At itteration 376 Test data , total error of 0.2898, Training Data, total error of 0.2772
At itteration 377 Test data , total error of 0.2872, Training Data, total error of 0.275
At itteration 378 Test data , total error of 0.3088, Training Data, total error of 0.3012
At itteration 379 Test data , total error of 0.2946, Training Data, total error of 0.2828
At itteration 380 Test data , total error of 0.2946, Training Data, total error of 0.2828
At itteration 381 Test data , total error of 0.2978, Training Data, total error of 0.2872
At itteration 382 Test data , total error of 0.2944, Training Data, total error of 0.283
At itteration 383 Test data , total error of 0.306, Training Data, total error of 0.293
At itteration 384 Test data , total error of 0.3276, Training Data, total error of 0.32
At itteration 385 Test data , total error of 0.2986, Training Data, total error of 0.2844
At itteration 386 Test data , total error of 0.302, Training Data, total error of 0.2864
At itteration 387 Test data , total error of 0.3052, Training Data, total error of 0.2908
At itteration 388 Test data , total error of 0.3018, Training Data, total error of 0.2866
At itteration 389 Test data , total error of 0.302, Training Data, total error of 0.2864
At itteration 390 Test data , total error of 0.332, Training Data, total error of 0.3232
At itteration 391 Test data , total error of 0.332, Training Data, total error of 0.3232
At itteration 392 Test data , total error of 0.3102, Training Data, total error of 0.2972
At itteration 393 Test data , total error of 0.2876, Training Data, total error of 0.269
At itteration 394 Test data , total error of 0.3176, Training Data, total error of 0.3058
At itteration 395 Test data , total error of 0.2802, Training Data, total error of 0.2602
At itteration 396 Test data , total error of 0.2802, Training Data, total error of 0.2604
At itteration 397 Test data , total error of 0.3396, Training Data, total error of 0.3186
At itteration 398 Test data , total error of 0.348, Training Data, total error of 0.3292
At itteration 399 Test data , total error of 0.3392, Training Data, total error of 0.3318
At itteration 400 Test data , total error of 0.3554, Training Data, total error of 0.3378
At itteration 401 Test data , total error of 0.3818, Training Data, total error of 0.368
At itteration 402 Test data , total error of 0.348, Training Data, total error of 0.3292
At itteration 403 Test data , total error of 0.3744, Training Data, total error of 0.3594
At itteration 404 Test data , total error of 0.3744, Training Data, total error of 0.3594
At itteration 405 Test data , total error of 0.377, Training Data, total error of 0.364
At itteration 406 Test data , total error of 0.348, Training Data, total error of 0.3294
At itteration 407 Test data , total error of 0.3784, Training Data, total error of 0.365
At itteration 408 Test data , total error of 0.3568, Training Data, total error of 0.3388
At itteration 409 Test data , total error of 0.3406, Training Data, total error of 0.3328
At itteration 410 Test data , total error of 0.3406, Training Data, total error of 0.3328
At itteration 411 Test data , total error of 0.3406, Training Data, total error of 0.3328
At itteration 412 Test data , total error of 0.3402, Training Data, total error of 0.3328
At itteration 413 Test data , total error of 0.378, Training Data, total error of 0.365
At itteration 414 Test data , total error of 0.319, Training Data, total error of 0.3066
